Ch.,Term,Definition
10,singleton,A list (or other sequence) with a single element.
10,tuple,An immutable sequence of elements.
10,tuple assignment,An assignment with a sequence on the right side and a tuple of variables on the left. The right side is evaluated and then its elements are assigned to the variables on the left.
11,brittle code,"Code that works when the input data is in a particular format but is prone to breakage if there is some deviation from the correct format. We call this ""brittle code"" because it is easily broken."
11,greedy matching,"The notion that the ""+"" and ""*"" characters in a regular expression expand outward to match the largest possible string."
11,grep,"A command available in most Unix systems that searches through text files looking for lines that match regular expressions. The command name stands for ""Generalized Regular Expression Parser""."
11,regular expression,A language for expressing more complex search strings. A regular expression may contain special characters that indicate that a search only matches at the beginning or end of a line or many other similar capabilities.
11,wild card,A special character that matches any character. In regular expressions the wild-card character is the period.
12,BeautifulSoup,A Python library for parsing HTML documents and extracting data from HTML documents that compensates for most of the imperfections in the HTML that browsers generally ignore. You can download the BeautifulSoup code from www.crummy.com.
12,port,A number that generally indicates which application you are contacting when you make a socket connection to a server. As an example; web traffic usually uses port 80 while email traffic uses port 25.
12,scrape,When a program pretends to be a web browser and retrieves a web page; then looks at the web page content. Often programs are following the links in one page to find the next page so they can traverse a network of pages or a social network.
12,socket,A network connection between two applications where the applications can send and receive data in either direction.
12,spider,The act of a web search engine retrieving a page and then all the pages linked from a page and so on until they have nearly all of the pages on the Internet which they use to build their search index.
13,API,Application Program Interface - A contract between applications that defines the patterns of interaction between two application components.
13,ElementTree,A built-in Python library used to parse XML data.
13,JSON,JavaScript Object Notation. A format that allows for the markup of structured data based on the syntax of JavaScript Objects.
13,SOA,Service-Oriented Architecture. When an application is made of components connected across a network.
13,XML,eXtensible Markup Language. A format that allows for the markup of structured data.
14,attribute,A variable that is part of a class.
14,child class,A new class created when a parent class is extended. The child class inherits all of the attributes and methods of the parent class.
14,class,A template that can be used to construct an object. Defines the attributes and methods that will make up the object.
14,constructor,An optional specially named method ( __init__ ) that is called at the moment when a class is being used to construct an object. Usually this is used to set up initial values for the object.
14,destructor,An optional specially named method ( __del__ ) that is called at the moment just before an object is destroyed. Destructors are rarely used.
14,inheritance,When we create a new class (child) by extending an existing class (parent). The child class has all the attributes and methods of the parent class plus additional attributes and methods defined by the child class.
14,method,A function that is contained within a class and the objects that are constructed from the class. Some object-oriented patterns use 'message' instead of 'method' to describe this concept.
14,Object,A constructed instance of a class. An object contains all of the attributes and methods that were defined by the class. Some object-oriented documentation uses the term 'instance' interchangeably with 'object'.
14,parent class,The class which is being extended to create a new child class. The parent class contributes all of its methods and attributes to the new child class.
15,attribute,"One of the values within a tuple. More commonly called a ""column"" or ""field""."
15,constraint,When we tell the database to enforce a rule on a field or a row in a table. A common constraint is to insist that there can be no duplicate values in a particular field (i.e.; all the values must be unique).
15,cursor,A cursor allows you to execute SQL commands in a database and retrieve data from the database. A cursor is similar to a socket or file handle for network connections and files; respectively.
15,database browser,A piece of software that allows you to directly connect to a database and manipulate the database directly without writing a program.
15,foreign key,A numeric key that points to the primary key of a row in another table. Foreign keys establish relationships between rows stored in different tables.
15,index,Additional data that the database software maintains as rows and inserts into a table to make lookups very fast.
15,logical key,"A key that the ""outside world"" uses to look up a particular row. For example in a table of user accounts; a person's email address might be a good candidate as the logical key for the user's data."
15,normalization,Designing a data model so that no data is replicated. We store each item of data at one place in the database and reference it elsewhere using a foreign key.
15,primary key,A numeric key assigned to each row that is used to refer to one row in a table from another table. Often the database is configured to automatically assign primary keys as rows are inserted.
15,relation,"An area within a database that contains tuples and attributes. More typically called a ""table""."
15,tuple,"A single entry in a database table that is a set of attributes. More typically called ""row""."
